"Statistic Label","Year","Geographic Location","Component","UNIT","VALUE"
"Exports of Services","2007","Philippines","Business services: Other","Euro Million",""
"Exports of Services","2007","Philippines","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Philippines","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Philippines","Repairs and processing","Euro Million",""
"Exports of Services","2007","Poland","Services total","Euro Million",""
"Exports of Services","2007","Poland","Transport","Euro Million",""
"Exports of Services","2007","Poland","Tourism and travel","Euro Million",""
"Exports of Services","2007","Poland","Communications","Euro Million",""
"Exports of Services","2007","Poland","Insurance","Euro Million",""
"Exports of Services","2007","Poland","Financial services","Euro Million",""
"Exports of Services","2007","Poland","Computer services","Euro Million",""
"Exports of Services","2007","Poland","Royalties/licences","Euro Million",""
"Exports of Services","2007","Poland","All business services","Euro Million",""
"Exports of Services","2007","Poland","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Poland","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Poland","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Poland","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Poland","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Poland","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Poland","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Poland","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Poland","Business services: Other","Euro Million",""
"Exports of Services","2007","Poland","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Poland","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Poland","Repairs and processing","Euro Million",""
"Exports of Services","2007","Portugal","Services total","Euro Million",""
"Exports of Services","2007","Portugal","Transport","Euro Million",""
"Exports of Services","2007","Portugal","Tourism and travel","Euro Million",""
"Exports of Services","2007","Portugal","Communications","Euro Million",""
"Exports of Services","2007","Portugal","Insurance","Euro Million",""
"Exports of Services","2007","Portugal","Financial services","Euro Million",""
"Exports of Services","2007","Portugal","Computer services","Euro Million",""
"Exports of Services","2007","Portugal","Royalties/licences","Euro Million",""
"Exports of Services","2007","Portugal","All business services","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Merchanting","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Other Trade related services","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Legal, Accounting and other professional services","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Advertising and market research","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Research and development","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Architectural engineering and other technical services","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Management services between affiliates","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Other","Euro Million",""
"Exports of Services","2007","Portugal","Business services: Trade related services","Euro Million",""
"Exports of Services","2007","Portugal","Other services not elsewhere stated","Euro Million",""
"Exports of Services","2007","Portugal","Repairs and processing","Euro Million",""
"Exports of Services","2007","Sweden","Services total","Euro Million","1354"
"Exports of Services","2007","Sweden","Transport","Euro Million","0"
"Exports of Services","2007","Sweden","Tourism and travel","Euro Million","58"
"Exports of Services","2007","Sweden","Communications","Euro Million",""
"Exports of Services","2007","Sweden","Insurance","Euro Million","251"
"Exports of Services","2007","Sweden","Financial services","Euro Million","40"
"Exports of Services","2007","Sweden","Computer services","Euro Million","624"
"Exports of Services","2007","Sweden","Royalties/licences","Euro Million",""
"Exports of Services","2007","Sweden","All business services","Euro Million","360"
"Exports of Services","2007","Sweden","Business services: Merchanting","Euro Million","128"
"Exports of Services","2007","Sweden","Business services: Other Trade related services","Euro Million","0"
"Exports of Services","2007","Sweden","Business services: Operational leasing","Euro Million",""
"Exports of Services","2007","Sweden","Business services: Legal, Accounting and other professional services","Euro Million","0"
"Exports of Services","2007","Sweden","Business services: Advertising and market research","Euro Million","0"
"Exports of Services","2007","Sweden","Business services: Research and development","Euro Million",""
